ISO,REF_AREA_LABEL,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
ABW,Aruba,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866,44.052,44.254,44.474
AFE,Africa Eastern and Southern,25.30871439140428,25.74256550524447,26.16629412175098,26.60729398739791,27.03757489849472,27.408217689318988,27.68569717749504,27.958082681611327,28.24592081358982,28.53289306990465,28.81336082821008,29.11001117243305,29.42389031586945,29.73486972195526,30.048039781262748,30.38099533928765,30.704020023886983,30.95824502715167,31.36278288047615,31.774237305059643,32.19559534712205,32.62806882295924,33.05274222339298,33.49655655729982,33.959633110123086,34.44728076174758,34.91954437615073,35.39628945792024,35.893397926218086,36.38427228781498,36.88403448173588,37.39363252917165,37.90901202118315,38.424898053025615,38.94911406635631
AFG,Afghanistan,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314,26.616,26.933,27.265
AFW,Africa Western and Central,30.960097945997752,31.40117690649403,31.829515746326003,32.25256110544723,32.66171860275225,33.06509046167383,33.47422310352655,33.929860888171504,34.3971425862883,34.86816864921812,35.34169825818123,35.95103460123484,36.562771447710944,37.18311439202231,37.81095224431807,38.44837936545106,39.09461156297882,39.738590709920594,40.37950940075764,41.0233922174474,41.672422622892576,42.31642609921842,42.95683755227759,43.58795259273493,44.21827849104629,44.84909949169733,45.47385022615293,46.094136558081935,46.70975261622167,47.32261735761258,47.931020957579705,48.53197105904645,49.12980798683633,49.711184124734594,50.28093441098653
AGO,Angola,37.144,38.58,40.039,41.511,43.0,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56.0,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46,68.081,68.688,69.281
ALB,Albania,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969,63.799,64.603,65.38
AND,Andorra,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858,87.811,87.774,87.747
ARB,Arab World,49.265325548942975,49.64794287732179,50.18666413703323,50.6087943973716,50.8912843416396,51.09945928313975,51.30838225937827,51.55110522012923,51.80389106294419,52.0579641108858,52.32627230831084,52.61617934765244,52.90516179654078,53.20512933428656,53.506593601414245,53.85313719630386,54.22887598858015,54.49378807283688,54.9030113257958,55.29603825254991,55.565492547110814,55.8725648894499,56.16570524071116,56.54953715402084,56.90481489170874,57.3250720145106,57.65310274509767,57.86274721241137,58.01048422920735,58.20454210605277,58.496674130508886,58.66292660214408,59.05426701714085,59.46705029585632,59.88367215447244
ARE,United Arab Emirates,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,87.299,87.543,87.779,88.008
ARG,Argentina,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229,92.347,92.463,92.579
ARM,Armenia,67.421,67.15,66.878,66.606,66.332,66.057,65.781,65.504,65.226,64.947,64.666,64.385,64.236,64.137,64.038,63.938,63.839,63.739,63.64,63.54,63.44,63.34,63.24,63.164,63.112,63.085,63.082,63.103,63.149,63.219,63.313,63.431,63.573,63.739,63.929
ASM,American Samoa,80.948,81.886,82.789,83.654,84.485,85.28,86.043,86.771,87.467,88.131,88.587,88.491,88.394,88.297,88.198,88.1,88.0,87.9,87.799,87.697,87.594,87.502,87.42,87.348,87.288,87.238,87.198,87.17,87.153,87.147,87.153,87.169,87.196,87.235,87.284
ATG,Antigua and Barbuda,35.426,35.465,35.085,34.709,34.334,33.961,33.59,33.221,32.855,32.49,32.127,31.74,31.098,30.464,29.837,29.218,28.606,28.002,27.405,26.818,26.238,25.703,25.526,25.35,25.175,25.0,24.846,24.713,24.599,24.506,24.433,24.38,24.346,24.332,24.338
AUS,Australia,85.433,85.403,85.285,85.157,85.028,84.898,84.767,84.636,84.503,84.37,84.235,84.1,84.222,84.343,84.463,84.582,84.7,84.822,84.943,85.063,85.182,85.3,85.402,85.502,85.602,85.701,85.8,85.904,86.012,86.124,86.241,86.362,86.488,86.617,86.75
AUT,Austria,62.96,62.689,62.417,62.144,61.87,61.596,61.32,61.045,60.768,60.491,60.213,59.934,59.655,59.375,59.094,58.813,58.532,58.249,57.966,57.683,57.399,57.115,57.147,57.336,57.526,57.715,57.905,58.094,58.297,58.515,58.748,58.995,59.256,59.53,59.819
AZE,Azerbaijan,53.749,53.441,53.132,52.824,52.515,52.206,51.896,51.588,51.278,51.185,51.386,51.587,51.787,51.988,52.189,52.389,52.589,52.79,52.99,53.19,53.406,53.637,53.883,54.145,54.422,54.714,55.021,55.343,55.68,56.031,56.397,56.776,57.17,57.577,57.997
BDI,Burundi,6.271,6.455,6.637,6.823,7.014,7.211,7.412,7.618,7.83,8.036,8.246,8.461,8.682,8.908,9.139,9.375,9.617,9.864,10.118,10.376,10.642,10.915,11.194,11.482,11.776,12.078,12.388,12.706,13.032,13.366,13.708,14.058,14.417,14.784,15.16
BEL,Belgium,96.377,96.461,96.542,96.622,96.7,96.777,96.851,96.924,96.996,97.065,97.129,97.186,97.241,97.296,97.35,97.403,97.454,97.505,97.555,97.603,97.651,97.698,97.744,97.789,97.833,97.876,97.919,97.961,98.001,98.041,98.079,98.117,98.153,98.189,98.224
BEN,Benin,34.485,35.247,35.827,36.136,36.447,36.758,37.071,37.385,37.699,38.015,38.333,38.65,39.036,39.536,40.039,40.543,41.049,41.558,42.069,42.58,43.093,43.608,44.125,44.642,45.166,45.695,46.229,46.768,47.312,47.861,48.415,48.972,49.534,50.1,50.669
